netcard_mini	netcard_mini_value	netcard	netcard_value	tate_pairing_mini	tate_pairing_mini_value	tate_pairing	tate_pairing_value	jpeg_mini	jpeg_mini_value	jpeg	jpeg_value	ariane_mini	ariane_mini_value	ariane	ariane_value	nova_mini	nova_mini_value	nova	nova_value
M3P100_M5P100_M3C50_M5C150	36.49	M3P100_M5P100_M3C50_M5C150	374.13	M3P100_M5P125_M3C50_M5C100	30.31	M3P100_M5P125_M3C50_M5C100	288.95	M3P85_M5P75_M3C50_M5C100	8.06	M3P85_M5P75_M3C50_M5C100	83.84	M3P130_M5P100_M3C50_M5C150	32.49	M3P130_M5P100_M3C50_M5C150	339.65	M3P130_M5P125_M3C50_M5C100	6.78	M3P130_M5P75_M3C100_M5C50	65.66
M3P100_M5P125_M3C50_M5C100	36.5	M3P100_M5P125_M3C50_M5C100	370.29	M3P85_M5P100_M3C50_M5C100	30.31	M3P85_M5P100_M3C50_M5C100	287.25	M3P100_M5P100_M3C50_M5C100	8.06	M3P100_M5P100_M3C50_M5C100	84.05	M3P100_M5P125_M3C50_M5C50	32.49	M3P100_M5P125_M3C50_M5C50	338.62	M3P85_M5P75_M3C50_M5C50	6.78	M3P130_M5P100_M3C100_M5C150	66.52
M3P85_M5P75_M3C50_M5C150	36.52	M3P85_M5P75_M3C50_M5C150	386.47	M3P85_M5P125_M3C50_M5C150	30.31	M3P85_M5P125_M3C50_M5C150	289.2	M3P85_M5P100_M3C50_M5C150	8.07	M3P85_M5P100_M3C50_M5C150	84.65	M3P85_M5P75_M3C50_M5C100	32.49	M3P85_M5P75_M3C50_M5C100	338.97	M3P100_M5P125_M3C50_M5C50	6.79	M3P130_M5P100_M3C50_M5C50	64.04
M3P130_M5P125_M3C50_M5C150	36.54	M3P130_M5P125_M3C50_M5C150	371.88	M3P100_M5P75_M3C50_M5C150	30.36	M3P100_M5P75_M3C50_M5C150	289.79	M3P130_M5P75_M3C50_M5C100	8.07	M3P130_M5P75_M3C50_M5C100	83.38	M3P100_M5P75_M3C50_M5C50	32.49	M3P100_M5P75_M3C50_M5C50	338.39	M3P85_M5P75_M3C100_M5C50	6.79	M3P130_M5P100_M3C100_M5C50	65.12
M3P130_M5P100_M3C50_M5C100	36.54	M3P130_M5P100_M3C50_M5C100	368.68	M3P130_M5P125_M3C50_M5C100	30.39	M3P130_M5P125_M3C50_M5C100	288.66	M3P85_M5P125_M3C50_M5C150	8.08	M3P85_M5P125_M3C50_M5C150	83.84	M3P85_M5P125_M3C50_M5C150	32.49	M3P85_M5P125_M3C50_M5C150	339.17	M3P85_M5P100_M3C50_M5C50	6.79	M3P100_M5P75_M3C50_M5C50	64.79
M3P130_M5P100_M3C50_M5C150	36.62	M3P130_M5P100_M3C50_M5C150	373.11	M3P130_M5P75_M3C50_M5C100	30.45	M3P130_M5P75_M3C50_M5C100	287.87	M3P130_M5P125_M3C50_M5C150	8.08	M3P130_M5P125_M3C50_M5C150	85.02	M3P85_M5P75_M3C50_M5C150	32.49	M3P85_M5P75_M3C50_M5C150	339.36	M3P100_M5P75_M3C50_M5C100	6.79	M3P85_M5P75_M3C50_M5C100	64.94
M3P100_M5P125_M3C50_M5C150	36.62	M3P100_M5P125_M3C50_M5C150	372.88	M3P85_M5P75_M3C100_M5C50	30.46	M3P85_M5P75_M3C100_M5C50	291.98	M3P85_M5P100_M3C50_M5C100	8.09	M3P85_M5P100_M3C50_M5C100	81.58	M3P130_M5P75_M3C100_M5C50	32.5	M3P130_M5P75_M3C100_M5C50	339.42	M3P100_M5P100_M3C50_M5C100	6.80	M3P100_M5P125_M3C50_M5C150	64.63
M3P130_M5P100_M3C100_M5C50	36.77	M3P130_M5P100_M3C100_M5C50	372.08	M3P100_M5P100_M3C100_M5C50	30.49	M3P100_M5P100_M3C100_M5C50	291.04	M3P130_M5P75_M3C100_M5C100	8.1	M3P130_M5P75_M3C100_M5C100	84.56	M3P85_M5P75_M3C50_M5C50	32.5	M3P85_M5P75_M3C50_M5C50	338.23	M3P85_M5P125_M3C100_M5C50	6.81	M3P100_M5P100_M3C50_M5C150	65.03
M3P130_M5P125_M3C100_M5C100	36.78	M3P130_M5P125_M3C100_M5C100	375.96	M3P85_M5P125_M3C100_M5C50	30.57	M3P85_M5P125_M3C100_M5C50	292.17	M3P85_M5P125_M3C100_M5C50	8.12	M3P85_M5P125_M3C100_M5C50	86.49	M3P130_M5P100_M3C100_M5C100	32.51	M3P130_M5P100_M3C100_M5C100	339.68	M3P100_M5P100_M3C50_M5C50	6.81	M3P100_M5P100_M3C50_M5C50	64.01
M3P130_M5P75_M3C100_M5C50	36.82	M3P130_M5P75_M3C100_M5C50	373.81	M3P130_M5P100_M3C50_M5C100	30.58	M3P130_M5P100_M3C50_M5C100	289.14	M3P100_M5P125_M3C100_M5C100	8.13	M3P100_M5P125_M3C100_M5C100	85.17	M3P100_M5P75_M3C100_M5C100	32.51	M3P100_M5P75_M3C100_M5C100	339.95	M3P85_M5P125_M3C50_M5C100	6.81	M3P100_M5P75_M3C100_M5C100	65.79
