Name,Type,Master,X,Y
FE_DBTC2096_FE_RN_1063_0,inst,INVxp67_ASAP7_75t_R,90.342,100.926
FE_DBTC2095_FE_RN_10270_0,inst,INVx1_ASAP7_75t_L,58.914,107.406
FE_DBTC2094_FE_RN_8751_0,inst,INVxp33_ASAP7_75t_R,59.076,106.326
FE_DBTC2093_net_78101,inst,INVx1_ASAP7_75t_SL,36.018,51.786
FE_DBTC2092_net_66387,inst,INVx4_ASAP7_75t_SL,53.082,103.626
FE_DBTC2091_net_60476,inst,INVxp67_ASAP7_75t_R,31.968,106.866
FE_DBTC2090_net_54764,inst,INVxp67_ASAP7_75t_SL,34.83,63.126
FE_DBTC2089_net_73603,inst,INVxp33_ASAP7_75t_R,51.516,86.886
FE_DBTC2088_net_126005,inst,INVx1_ASAP7_75t_L,56.43,85.266
FE_DBTC2087_net_54161,inst,INVxp67_ASAP7_75t_SL,35.37,61.506
FE_DBTC2086_net_63368,inst,INVx1_ASAP7_75t_SL,48.222,73.386
FE_DBTC2085_net_64146,inst,INVx2_ASAP7_75t_SL,66.258,77.706
FE_DBTC2084_net_61593,inst,INVx2_ASAP7_75t_SL,55.728,111.726
FE_DBTC2083_FE_RN_1637_0,inst,INVxp67_ASAP7_75t_R,28.998,49.626
FE_DBTC2082_net_73926,inst,INVxp67_ASAP7_75t_R,28.728,48.546
FE_DBTC2081_net_4859,inst,INVx1_ASAP7_75t_L,185.706,126.306
FE_DBTC2080_net_61356,inst,INVxp33_ASAP7_75t_R,55.782,107.946
FE_DBTC2079_net_52764,inst,INVxp33_ASAP7_75t_R,137.43,77.166
FE_DBTC2078_net_63666,inst,INVxp67_ASAP7_75t_SL,43.524,67.986
FE_DBTC2077_net_67280,inst,INVxp33_ASAP7_75t_R,94.068,100.926
FE_DBTC2076_net_52533,inst,INVxp67_ASAP7_75t_R,1.566,112.266
FE_DBTC2075_FE_OFN131407_net_78289,inst,INVxp33_ASAP7_75t_R,28.458,55.026
FE_DBTC2074_net_42975,inst,INVxp67_ASAP7_75t_SL,78.84,125.226
FE_DBTC2073_net_65617,inst,INVxp67_ASAP7_75t_R,40.77,93.906
FE_DBTC2072_net_60980,inst,INVxp67_ASAP7_75t_SL,45.954,111.186
FE_DBTC2071_net_71896,inst,INVxp67_ASAP7_75t_SL,92.772,72.306
FE_DBTC2070_net_78488,inst,INVxp67_ASAP7_75t_SL,28.188,57.726
FE_DBTC2069_net_56780,inst,INVx2_ASAP7_75t_SL,4.266,94.986
FE_DBTC2068_net_62402,inst,INVxp67_ASAP7_75t_R,52.65,89.046
FE_DBTC2067_net_93296,inst,INVxp67_ASAP7_75t_SL,44.226,9.126
FE_DBTC2066_FE_RN_1938_0,inst,INVx2_ASAP7_75t_SL,84.132,60.966
FE_DBTC2065_net_12097,inst,INVxp67_ASAP7_75t_SL,101.52,51.246
FE_DBTC2064_net_64212,inst,INVxp67_ASAP7_75t_SL,40.608,70.686
FE_DBTC2063_FE_RN_9299_0,inst,INVxp33_ASAP7_75t_R,83.268,62.046
